alignment_index,id2,series2,begin2,end2,s2_no_gaps,id,series,begin,end,s1_no_gaps,matches
95,page_241,mega,7,364," eine Sehne, ein Tropfen Bluts auszubeuten""gegen die Schlange ihrer Qualen müssen die Arbeiter ihre Köpfe zusammen‐ rotten und als Klasse ein Staatsgesetz erzwingen, ein übermächtiges gesellschaftliches Hinderniß, das sie selbst verhindert, durch freiwilligen Kontrakt mit dem Kapital sich und ihre Generation in Tod und Sklaverei zu verkaufenMenschenrechte",1901-02b,dnz,524844,525185," ihnen ge¬ wiesen: ""Zum Schutze gegen die Schlange ihrer Qualen müssen die Arbeiter ihre Köpfe zusammenrotten und als Klasse ein Staatsgesetz erzwingen, ein übermächtiges, gesellschaftliches Hinderniß, das sie felbst verhindert, durch freiwilligen Kontrakt mit dem Kapital sich und ihr Geschlecht in Tod und Sklaverei zu verkaufen."" Aber die",306
96,page_295,mega,1285,1785," Jahrhunderts für gewisse einfache Operationen, welche aber Fabrikgeheimnisse bildeten, mit Vorliebe halbe Idioten an ""Der Geist der großen Mehrzahl der Menschen"", sagt A. Smith, ""ent‐wickelt sich nothwendig aus und an ihren Alltagsverrichtungen. Ein Mensch, der sein ganzes Leben in der Verrichtung weniger einfacher Operationen verausgabt ... hat keine Gelegenheit seinen Verstand zu üben ... Er wird im Allgemeinen so stupid und unwissend, wie es für eine menschliche Kreatur möglich ist."" Nachdem",1901-02b,dnz,607791,608313," Arbetters führte zu seiner körperlichen wie geistigen Verkrüppelung und Verblödung. ""Der Geist der großen Mehrzahl der Menschen entwickelt sich noth¬ wendig aus und an ihren Alltagsverrichtungen. Ein Mensch, der sein ganzes 173. Heinrich Schulz: Die Volksschule in der Manufakturperiode. hat keine Leben in der Verrichtung weniger einfacher Operationen verausgabt, Gelegenheit, seinen Verstand zu üben. Er wird im Allgemeinen so stupid und Aber nicht nur unwissend, wie es für eine menschliche Kreatur möglich ist."" in de",380
97,page_582,mega,1086,1942,"n, wie die gewaltsame Usur‐ pation desselben, meist begleitet von Verwandlung des Ackerlands in Vieh‐ weide, Ende des 15. Jahrhunderts beginnt und im 16. Jahrhundert fortdauert. Aber damals vollzog sich der Prozeß als individuelle Gewaltthat, wogegen die Gesetzgebung 150 Jahre durch vergeblich ankämpft. Der Fortschritt des 18. Jahrh. offenbart sich darin, daß das Gesetz selbst jetzt zum Vehikel des Raubs am Volksland wird, obgleich die großen Pächter nebenbei auch ihre kleinen unabhängigen Privatmethoden anwendenForm des Raubs ist die der ""Bills for Inclosures of Commons"" (Bills für Einschluß der Gemeindeländereien), in andern Worten Dekrete, wodurch die Landlords Volkseigenthum sich selbst als Privateigenthum schenken, Dekrete der Volksexpropriation. Sir F. M. Eden widerlegt sein pfiffiges Advokatenplaidoyer, worin er das Gemeindeeigenthum als",1895-96a,dnz,1178858,1180108," über ein gewisses Quantum Holz zu verfügen oder Kartoffeln zu bauen. Das Programm der belgischen Arbeiterpartei fordert, daß überall (81 Red.) derartiger Gemeindebesitz geschaffen wird, dessen Verschwinden meist auf Rechnung der Schloßherrn und Großgrundbesitzer gesetzt werden muß, welche entweder die Ländereten auf ehrliche Weise von Kommunalverwaltungen erwarben, die ihre Pflichten verkannten, oder aber sich dieselben auf betrüigerische Weise aneigneten. In den ländlichen Gegenden, wo der Grund und Boden einen großen Werth¬ hat (in Flandern), hat sich diese Verschiebung der Besitzverhältnisse, der Ueber¬ gang der Gemeindeländereien in Privatbesitz, bereits seit Langem vollzogen. In jenen ländlichen Gemeinden in der Nachbarschaft von Industriedistrikten, wo der Grund und Boden erst in jüngerer Zeit Werth erhielt, ist dagegen die Ver¬ schiebung der Besitzverhältnisse neueren Datums und vollzieht sich zum Theil noch vor unseren Augen. In den unfruchtbarsten Theilen des Landes, den Ardennen und der Campine (Kempenland) ist der Verschiebungsprozeß noch nicht vollendet. Die belgischen Bürger, welche ihrer Rechte sich nicht bewußt sind, wären in kurzer Frist der bescheidenen Hilfe beraubt worden, welche ihnen das Gemeinde¬ eigenthum a",103
98,page_456,mega,1951,2263," Diese verwandelten Formen des Mehrwerths können erst im dritten Buch behandelt werden. Wir unterstellen hier also einerseits, daß der Kapitalist, der die Waareproducirt, sie zu ihrem Werth verkauft, ohne bei seiner Rückkehr zum 68) Ich werde im Vierten Buch die Seichtigkeit seiner Wissenschaft näher nachweisen",1903-04b,dnz,18887,19137," die Geheimquelle der harmonischen Weisheit eines Bastiat und aller anderen freihändlerischen Optimisten der Gegen¬ wart zu werden."" In einer Fußnote fügt Marx hinzu: ""Ich werde im Vierten Buche die Seichtig¬ keit seiner Wissenschaft näher nachweisen",102
99,page_456,mega,0,631,"das Resultat der Ricardo'schen u. s. w. Theorie sind! Er entdeckte schließ‐ lich, daß es in letzter Instanz der Handel ist, der die eingebornen Schönheiten und Harmonieen der kapitalistischen Produktionsweise vernichtet. Noch einen Schritt weiter, und er entdeckt vielleicht, daß der einzige Mißstand an der kapitalistischen Produktion das Kapital selbst ist. Nur ein Mann von so entsetzlicher Kritiklosigkeit und solcher Gelehrsamkeit de faux aloi ver‐ diente, trotz seiner protektionistischen Ketzerei, die Geheimquelle der harmonischen Weisheit eines Bastiat und aller andern freihändlerischen Optimisten der Gegenwart zu werden",1903-04b,dnz,18384,19017,"das Resultat der Ricardoschen usw. Theorie sind: Er entdeckte schließlich, daß es in letzter Instanz der Handel ist, der die eingeborenen Schönheiten und Harmonien der kapitalistischen Produktionsweise vernichtet. Noch einen Schritt weiter und er entdeckt vielleicht, daß der einzige Mißstand an der kapitalistischen Produktionsweise das Kapital selbst ist. Nur ein Mann von so entsetzlicher Kritiklosigkeit und solcher Gelehrsamkeit de faux aloi? ver¬ diente, trotz seiner protektionistischen Ketzerei, die Geheimquelle der harmonischen Weisheit eines Bastiat und aller anderen freihändlerischen Optimisten der Gegen¬ wart zu werden",620
100,page_414,mega,1890,2593,"endlich, daß der Arbeitsprozeß, also der Arbeitstag, über den Punkt hinaus verlängert wird, wo der Arbeiter nur ein Aequivalent für den Werth seiner Arbeits kraft producirt hätte. Die allgemeinen Bedingungen aller Produktion von Waaren vorausgesetzt, besteht die Produktion des absoluten Mehrwerths einfach in der Verlängerung des Arbeitstags über die Grenze der zum Leben des Arbeiters selbst nothwendigen Arbeitszeit, und in der Aneignung der Mehrarbeit durch das Kapital. Dieser Prozeß kann vorgehn und geht vor auf Grundlage von Betriebsweisen, die ohne Zuthun des Kapitals historisch überliefert sind. Es findet dann nur eine formelle Meta‐ morphose statt, oder die kapitalistische Ausbeutungsweise",1895-96a,dnz,46676,47552,"eulichste Resultat, das die Debatte über das Agrarprogramm in der Partei¬ presse und in den Verfammlungen gehabt hat. Ein anderer wichtiger Punkt, der den Breslauer Parteitag beschäftigen wird, ist das Schwitzsystem in Verbindung mit der Hausindustrie und dem noth¬ wendigen Arbeiterschutz. Unbestreitbar bilden Schwitzsystem und Hausindustrie¬ mit die wündesten Punkte in dem an wunden Punkten so reichen kapitalistischen Lohn‐ und Ausbeutungssystem, dessen allerwundester Punkt allerdings ist, daß überhaupt das System existirt. Die zu behandelnde Frage ist ebenso schwierig, wie brennend; sie berührt viele hunderttansend Existenzen, für welche heute mit der Beseitigung des Uebels fehr häufig die Existenzfrage verknüpft ist. Dieses letztere ist auch der Punkt, an dem die Vertheidiger des Systems einsetzen, welche die scheußlichste Form der Arbeits‐ und Ausbeutungsweise",164
101,page_240,mega,1594,2000,"er als Besitzer der Waare ""Arbeitskraft"" andern Waarenbesitzern gegenüber, Waarenbesitzer dem Waarenbesitzer. Der Kontrakt, wodurch er dem Kapitalisten seine Arbeitskraft verkaufte, schien durch den freien Willen von Verkäufer und Käufer vereinbartes Produkt. Nach geschloßnem Handel wird entdeckt, daß er ""kein freier Agent"" war, daß die Zeit, wofür es ihm freisteht seine Ar‐ beitskraft zu verkaufen, die",1895-96a,dnz,2330898,2331071,"er, nach denen die Waare Arbeitskraft übergeführt werden soll. Wie kann man den Arbeitern zumuthen, irgend eine Stadt aufzusuchen, um hier ihre Arbeitskraft zu verwenden, we",113
102,page_410,mega,207,1329,"Entwick‐ lung adäquaten Form herzustellen. In der Agrikultur wie in der Manufaktur erscheint die kapitalistische Umwandlung des Produktionsprozesses zugleich als Martyrologie der Producenten, das Arbeitsmittel als Unter‐ jochungsmittel, Exploitationsmittel und Verarmungsmittel des Arbeiters, die gesellschaftliche Kombination der Arbeitsprozesse als organisirte Unter‐ drückung seiner individuellen Lebendigkeit, Freiheit und Selbstständigkeit. Die Zerstreuung der Landarbeiter über größere Flächen bricht zugleich ihre Widerstandskraft, während Koncentration die der städtischen Arbeiter steigert. Wie in der städtischen Industrie wird in der modernen Agrikultur die gesteigerte Produktivkraft und größere Flüssigmachung der Arbeit er‐ kauft durch Verwüstung und Versiechung der Arbeitskraft selbst. Und jeder Fortschritt der kapitalistischen Agrikultur ist nicht nur ein Fortschritt in der Kunst den Arbeiter, sondern zugleich in der Kunst den Boden zu berauben, jeder Fortschritt in Steigerung seiner Fruchtbarkeit für eine gegebne Zeitfrist zugleich ein Fortschritt im Ruin der dauernden Quellen dieser Fruchtbarkeit.",1895-96a,dnz,179179,180327,"gebniß gekommen als dem, es sei ""nicht undenkbar, daß wir den kleinbäuerlichen Betrieb innerhalb des fozialistischen Wirthschafts¬ gefüges aus betriebstechnischen und volksgesundheitlichen Interessen wiederhergestellt, sehen möchten"". Eines allerdings wollen wir ihm gerne zugebent daß der kapitalistische Großbetrieb nicht die vollkommenste Form der Produktion bildet. Wenn er nichts, Anderes beweisen wollte, wären wir einig. Aber diese Erkenntniß ist so alt wie der noderne Sozialismus selbst. Die kapitalistische Produktion in der Land¬ wirthschaft hat die Produktivkraft der menschlichen Arbeit enorm erhöht, aber ""wie in der städtischen Industrie wird in der modernen Agrikultur die gesteigerte, Produktivkraft und größere Flüssigmachung der Arbeit erkauft durch Verwüstung und Versiechung der Arbeitskraft selbst. Und jeder Fortschritt in der kapitalistischen Agrikultur ist nicht nur ein Fortschritt in der Kunst, den Arbeiter, sondern zugleicht in der Kunst, den Boden zu berauben, jeder Fortschritt in Steigerung seiner Fruchtbarkeit für eine gegebene Zeitfrist zugleich ein Fortschritt im Ruin der dauernden Quellen dieser Fruchtbarkeit.",563
103,page_413,mega,0,237,"entwickelt daher nur die Technik und Kombination des gesellschaftlichen Produktionsprozesses, indem sie zugleich die Springquellen allen Reich‐ thums untergräbt: Die Erde und den Arbeiter. FÜNFTES KAPITEL. Weitere Untersuchungen über die",1895-96a,dnz,180362,180578,"ent¬ wickelt daher nur die Technik und Kombination des gesellschaftlichen Produktions¬ prozesses, indem sie zugleich die Springquellen allen Reichthums untergräbt, die Erde und den Arbeiter"" (Marx). Aber wie sehr die",200
104,page_518,mega,81,337," Der Landarbeiter wird daher auf das Minimum des Salairs herabgedrückt und steht mit einem Fuß stets im Sumpf des Pauperismus. Die stagnante Surpluspopulation bildet einen Theil der aktiven Arbeiter‐armee, aber mit durchaus unregelmäßiger Beschäftigung, so",1903-04b,dnz,1441479,1441655," der Landarbeiter wird dadurch im Winter arbeitslos; auch das treibt, ihn zur kapitalistischen Induftrie mit ihrer vom Wechsel der Jahreszeiten un¬ abhängigen Beschäftigung. So",98
105,page_435,mega,912,1197," Decken sich Nachfrage und Zufuhr, so hört, unter sonst gleichbleibenden Um‐ ständen, die Preisoscillation auf. Aber dann hören auch Nachfrage und Zufuhr auf irgend etwas zu erklären. Der Preis der Arbeit, wenn Nachfrage und Zufuhr sich decken, ist der vom Verhältniß der Nachfrage und",1895-96a,dnz,25137,25282," decken sich Nachfrage und Angebot. Theilen wir also sämmtliche in der Welt vor¬ handenen Waaren in zwei Hälften, in die Gruppe der Nachfrage und",87
106,page_208,mega,1480,2086," produzirt also mit der Verlängerung des Arbeitstags nicht nur die Verkümmerung der menschlichen Arbeitskraft, die sie ihrer normalen moralischen und physischen Entwicklungs‐ und Be‐ thätigungsbedingungen beraubt. Sie produzirt die vorzeitige Erschöpfung und Abtödtung der Arbeitskraft selbst Produktionszeit des Arbeiters während eines gegebenen Termins durch Verkürzung seiner Lebenszeit. Der Werth der Arbeitskraft schließt aber den Werth der Waaren ein,welche zur Reproduktion des Arbeiters oder zur Fortpflanzung der Arbeiter‐ klasse erheischt sind. Wenn also die naturwidrige Verlängerung des Arbeits",1895-96a,dnz,179695,180222," Produktion in der Land¬ wirthschaft hat die Produktivkraft der menschlichen Arbeit enorm erhöht, aber ""wie in der städtischen Industrie wird in der modernen Agrikultur die gesteigerte, Produktivkraft und größere Flüssigmachung der Arbeit erkauft durch Verwüstung und Versiechung der Arbeitskraft selbst. Und jeder Fortschritt in der kapitalistischen Agrikultur ist nicht nur ein Fortschritt in der Kunst, den Arbeiter, sondern zugleicht in der Kunst, den Boden zu berauben, jeder Fortschritt in Steigerung seiner Fruchtbarkeit",179
107,page_044,mega,2835,3571,"ern Zusammenhang der bürgerlichen Produktionsverhältnisse erforscht, im Gegensatz zur Vulgärökonomie, die sich nur innerhalb des scheinbaren Zusammenhangs herumtreibt, für eine plausible Verständlichmachung der so zu sagen gröbsten Phänomene und den bürgerlichen Hausbedarf das von der wissenschaftlichen Oekonomie längst gelieferte Material stets von neuem wiederkaut, im Uebrigen aber sich darauf beschränkt, die banalen und selbstgefälligen Vorstellungen der bürgerlichen Produktionsagenten von ihrer eignen besten Welt zu systematisiren, pedantisiren und als ewige Wahrheiten zu proklamiren. 25) Man erinnert sich, daß China und die Tische zu tanzen anfingen, als alle übrige Welt still zu stehn schien ‒ pour encourager les autres.",1903-04b,dnz,811813,812572,"Wäre ein großindustrielles Reich wie Deutschland noch auf die Kulturhöhe der Kassubei zurückzuschrauben, so ließe sich am Ende über die Sache reden. Aber da diese Rückwärtsbewegung unmöglich ist, so wird, was nach Bülow kommt, wohl nicht so sehr viel anders aussehen als Bülow selbst. Es sei denn, man versuchte es einmal mit einer Episode Spahn, die ihre Reize haben könnte, besonders durch ihren unaufhallsamen Krach, der noch viel lehr¬ reicher werden würde, als der Krach der Episode Bülow ist. Schmoller über den fortschritt der Arbeiterklasse. Von Kavl Kaufsky. Karl Marx macht einmal im ""Kapital"" die Bemerkung: ""Man erinnert, sich, daß China und die Tische zu tanzen anfingen, als alle übrige Welt stile, zu stehen schien — pour encourager les antres.",178
108,page_012,mega,2217,2582,"Ackerbauarbeiter, oder sich optimistisch dabei beruhigen, daß in Deutschland die Sachen noch lange nicht so schlimm stehn, so muß ich ihm zurufen: De te fabula narratur! An und für sich handelt es sich nicht um den höheren oder niedrigerenEntwicklungsgrad der gesellschaftlichen Antagonismen, welche aus den Naturgesetzen der kapitalistischen Produktion entspringen",1903-04b,dnz,17674,17942,"erklärte, deren frei harmonisches Spiel nur durch die Staatseinmischung ge¬ stört werde, um hinterher zu entdecken, daß Englands diabolischer Einfluß auf den Weltmarkt, ein Einfluß, der, wie es scheint, nicht den Naturgesetzen der kapitalistischen Produktion entspring",158
109,page_455,mega,2881,3080," (Ure l. c. t. II, p. 58.) 67) ""Essay on the Rate of Wages: with an Examination of the Causes of the Differences in the Conditions of the Labouring Population throughout the World. Philadelphia 1835.",1903-04b,dnz,19138,19329," (2. Aufl., S. 585). ""Essay on the Rate of Wages: with an Examination ok the Causes of Lhe¬ Differences in the Conditions of the Labouring Population throughout the World."" Philadelphia 1835.",179
110,page_455,mega,476,2553,"oder dem Preis der Nahrungsmittel, niedriger steht In ""Versuch über die Rate des Arbeitslohns""ökonomischen Schriften, sucht H. Carey nachzuweisen, daß die verschied‐ nen nationalen Arbeitslöhne sich direkt verhalten wie die Produktivitäts‐ grade der nationalen Arbeitstage, um aus diesem internationalen Verhältniß den Schluß zu ziehn, daß der Arbeitslohn überhaupt steigt und fällt wie die Produktivität der Arbeit. Unsre ganze Analyse der Produktion des Mehr‐ werths beweist die Abgeschmacktheit dieser Schlußfolgerung, hätte Carey selbst seine Prämisse bewiesen, statt seiner Gewohnheit gemäß unkritisch und oberflächlich zusammengerafftes statistisches Material kunterbunt durch einander zu würfeln. Das Beste ist, daß er nicht behauptet, die Sache verhalte sich wirklich so, wie sie sich der Theorie nach verhalten sollte. Die Staatseinmischung hat nämlich das naturgemäße ökonomische Verhältniß verfälscht. Man muß daher die nationalen Arbeitslöhne so berechnen, als ob der Theil derselben, der dem Staat in der Form von Steuern zufällt, dem Arbeiter selbst zufiele. Sollte Herr Carey nicht weiter darüber nach‐ denken, ob diese ""Staatskosten"" nicht auch ""naturgemäße"" Früchte der kapitalistischen Entwicklung sind? Das Raisonnement ist ganz des Mannes würdig, der die kapitalistischen Produktionsverhältnisse erst für ewige Natur‐ und Vernunftgesetze erklärte, deren frei harmonisches Spiel nur durch die Staatseinmischung gestört werde, um hinterher zu entdecken, daß Englands diabolischer Einfluß auf den Weltmarkt, ein Einfluß, der, wie es scheint, nicht den Naturgesetzen der kapitalistischen Produktion entspringt, die Staatseinmischung nöthig macht, nämlich den Schutz jener Natur‐ und Vernunftgesetze durch den Staat, alias das Protektionssystem. Er entdeckte ferner, daß die Theoreme Ricardo's u. s. w., worin existirende gesellschaft‐ liche Gegensätze und Widersprüche formulirt sind, nicht das ideale Produkt der wirklichen ökonomischen Bewegung, sondern daß umgekehrt die wirk‐ lichen Gegensätze der kapitalistischen Produktion in England und anderswo 66) «Mr",1903-04b,dnz,16295,18389,"er. Es sei zur Vergleichung wiedergegeben: ""Im Versuch über die Rate des Arbeitslohns',"" einer feiner frühesten öko¬ nomischen Schriften, fucht H. Carey nachzuweisen, daß die verschiedenen nationalen Arbeitslöhne sich direkt verhalten wie die Produktivitätsgrade der nationalen Arbeits¬ tage, um aus diesem internationalen Verhältnis den Schluß zu ziehen, daß der Arbeits¬ lohn überhaupt steigt und fällt wie die Produktivität der Arbeit. Unsere ganze Analyse, der Produktion des Mehrwertes beweist die Abgeschmacktheit dieser Schlußfolgerung, hätte Carey felbst seine Prämisse bewiesen, statt seiner Gewohnheit gemäß unkritisch und oberflächlich zufammengerafftes statistisches Material kunterbunt durcheinander, zu würfeln. Das beste ist, daß er nicht behauptet, die Sache verhalte sich wirklich, so, wie sie sich der Theorie nach verhalten sollte. Die Staatseinmischung hat nämlich das naturgemäße ökonomische Verhältnis verfälscht. Man muß daher die nationalen Arbeitstöhne so berechnen, als ob der Teil derselben, der dem Staate in der Form¬ von Steuern zufällt, dem Arbeiter selbst zufiele. Sollte Herr Carey nicht weiter darüber nachdenken, ob diese Staatskosten' nicht auch naturgemäßet Früchte der kapitalistischen Entwicklung sind? Das Räsonnement ist ganz des Mannes würdig. der die kapitalistischen Produktionsverhältnisse erst für ewige Natur‐ und Vernunft¬ gesetze erklärte, deren frei harmonisches Spiel nur durch die Staatseinmischung ge¬ stört werde, um hinterher zu entdecken, daß Englands diabolischer Einfluß auf den Weltmarkt, ein Einfluß, der, wie es scheint, nicht den Naturgesetzen der kapitalistischen Produktion entspringt, die Staatseinmischung uötig macht, nämlich den Schutz jener Natur‐ und Vernunftgesetze durch den Staat, alias das Protektionssystem. Er ent¬ deckte ferner, daß die Theoreme Ricardos usw., worin existierende gesellschaftliche Gegensätze und Widersprüche formuliert sind, nicht das ideale Produkt der wirklichen ökonomischen Bewegung, sondern daß umgekehrt die wirklichen Gegensätze der kapita¬ liftischen Produktion in England und anderswo das R",1975
111,page_230,mega,607,1552,"habe das Gesetz zu erzwingen und nur in einem Fall von den Magistraten unterstützt wurde, halte ich weitere Verfolgung wegen Umgehung des Gesetzes für nutzlos. Der Theil des Akts, der verfaßt wurde, um Uniformität in den Arbeitsstunden zu schaffen, existirt nicht mehr in Lancashire. Auch besitze ich mit meinen Unteragenten durchaus kein Mittel uns zu versichern, daß Fabriken, wo das sog. Relais‐ system herrscht, junge Personen und Frauenzimmer nicht über 10 Stunden beschäftigen ... Ende April 1849 arbeiten schon 114 Fabriken in meinem Distrikt nach dieser Methode und ihre Anzahl nimmt in der letzten Zeit reißend zu. Im Allgemeinen arbeiten sie jetzt 13 1 2 Stunden, von 6 Uhr Morgens bis halb 8 Uhr Abends; in einigen Fällen 15 Stunden, von halb 6 Uhr Morgens bis halb 9 Uhr Abends""Horner eine Liste von 65 Fabrikanten und 29 Fabrikaufsehern, die einstim‐ mig erklärten, kein System der Oberaufsicht könne unter diesem Relais‐ system die",1906-07a,dnz,915569,916094,"habe sich zu einem öffent¬ lichen Skandal ausgearbeitet. ""Es ist in der Tat gar nichts Seltenes mehr für die Beamten, daß sie bei einer Revision mitten in der Zeit, die das Gesetz¬ ausdrücklich als Ruhepause zur Einnahme der Mahlzeiten bestimmt, alle dem, Gesetz unterstellten jugendlichen Personen und Frauen bei der Arbeit antreffen."" Diese Zustände werfen auf die ""kampferprobten"" Baumwollspinner und Weber Lancashires und ihre Methoden ein recht eigentümliches Licht. Wie der Ober¬ aufsichtsbeamte für die Textilindustrie",143
112,page_364,mega,226,401,"auch eine größere Masse fremder Rohstoffe, Ingredienzen, Halbfabrikate u. s. w. als Produktionsmittel in die heimische Industrie ein. Mit denselben weltmarktlichen Beziehungen",1906-07a,dnz,1961731,1961961,"ukt eine größere Masse der Konsumtionsmittel ausmachen. wird. Also Zunahme des Konsums des Wirtschaftssubjektes, gleichzeitig¬ mit der Verringerung des Konsums der als Produktionsmittel fungierenden Menschen. Diese letzte Verringe",71
113,page_268,mega,96,702,"Thätigkeiten vermittelt und die allgemeinen Funktionen vollzieht, die aus der Bewegung des produktiven Gesammt‐ körpers im Unterschied von der Bewegung seiner selbstständigen Organe entspringen. Ein einzelner Violinspieler dirigirt sich selbst, ein Orchester bedarf des Musikdirektors. Diese Funktion der Leitung, Ueberwachung und Vermittlung wird zur Funktion des Kapitals, sobald die ihm untergeordnete Arbeit cooperativ wird. Als spezifische Funktion des Kapitals erhält die Funktion der Leitung spezifische Charaktermale. Zunächst ist das treibende Motiv und der bestimmende Zweck des kapi‐talistischen",1906-07a,dnz,348272,349183,"tik der Partei und die allgemeine Führung der Arbeit sichert; daß andererseits die §§ 4 und 5"" dem ""Bunde"" in den Grenzen der Gesamt¬ parteibeschlüsse und der allgemeinen Direktiven des Zentralkomitees volle Selb¬ ständigkeit in Fragen der Propaganda, Agitation und inneren Organisationsarbeit gewähren: daß mit dem Wachstum der Arbeiterbewegung und dem wachsenden Einfluß der S. D. A. P. Rußlands auf immer breitere Arbeitermassen verschiedener Nationalität das Ungeeignete des ganzen Organisationsgebäudes der S. D. A. P. Rußlands zur Nationen allmählich ver¬ Leitung der Bewegung des Proletariats verschiedener schwinden wird, und daß sie mit ihrer wachsenden Anpassung an die Bedürfnisse der Massenbewegung gezwungen sein wird, immer weitere Schritte auf dem Wege der nationalen Scheidung zu machen: daß dieser Prozeß der nationalen Scheidung mit dem Eintritt der Organisa¬ tionen des polnischen, lettischen",216
114,page_366,mega,1853,2011,"wenigstens, daß die Maschinerie, wenn sie nur dazu dient, erstens durch ihre Einführung beschäftigte Arbeiter in Paupers zu verwandeln und zweitens durch ihre",1906-07a,dnz,1229267,1229529,"nisten geradezu, gegen sie Stellung zu nehmen. Erstens durch ihr Be¬ streben, den überragenden Einfluß von Paris auf die Geschicke Frankreichs zu schwächen, es zu einem gleichen Faktor wie jedes der anderen 82 Departements¬ zu degradieren, und zweitens durch ihr",59
115,page_610,mega,2052,2459," Von allen Klassen, welche heutzutage der Bourgeoisie gegenüberstehn, ist nur das Proletariat eine wirklich revolutionäre Klasse. Die übrigen Klassen verkommen und gehn unter mit der großen Industrie, das Proletariat ist ihr eigenstes Produkt ... Die Mittelstände, der kleine Industrielle, der kleine Kaufmann, der Handwerker, der Bauer, sie alle bekämpfen die Bourgeoisie, um ihre Existenz als Mittelstände",1906-07a,dnz,2546301,2546684," Von allen Klassen, welche heutzutage der Bourgesiste gegenüberstehen, ist nur das Proletariat eine wirklich revolutionäre Klasse. Die übrigen Klassen verkommen und gehen unter mit der großen Industrie, das Proletariat ist ihr uretgenstes Produkt."" ""Die Bourgeoiste ist hier als revolutionäre Klasse aufgefaßt — als Trägerin der großen Industrie — gegenüber feudalen und Mittelstände",302
116,page_422,mega,1059,1525,"in der Größe des Werths der Arbeitskraft oder der nothwendigen Arbeit bedingt, folgt keineswegs, daß sie in demselben Ver‐ hältniß wechseln. Sie nehmen zu oder ab um dieselbe Größe. Das Verhältniß aber, worin jeder Theil des Werthprodukts oder des Arbeitstags zu‐ oder abnimmt, hängt von der ursprünglichen Theilung ab, die vor dem Wechsel in der Produktivkraft der Arbeit stattfand. War der Werth der Arbeitskraft z. B. 4 sh. oder die nothwendige Arbeitszeit gleich",1906-07a,dnz,2929325,2929719,"iche Kraft dieser Barbaren sehr gut kannte, folgerte daraus aber keineswegs, daß sie auch bereits vor hundert¬ tausend Jahren, als sie im Zustand der Wildheit lebten, sich auf gleicher sitt¬ licher Höhe befunden hätten. Im Gegenteil! Morgan spricht wiederholt von der ""ursprünglich rohen Beschaffenheit der gesamten Menschheit"" und von der ""stufenweisen Entwicklung ihrer geistigen und sittlich",130
117,page_256,mega,1290,2177,"dividuellen, aber unter ihrem gesellschaftlichen Werth verkaufen, sage zu 10 d. das Stück. So schlägt er an jedem einzelnen Stück immer noch einen Extra‐Mehrwerth von 1 d. heraus. Diese Steigerung des Mehrwerths findet für ihn statt, ob oder ob nicht seine Waare dem Umkreis der nothwendigen Lebensmittel angehört und daher bestimmend in den allgemeinen Werth der Arbeitskraft eingeht. Vom letztren Umstand abgesehn, existirt also für jeden einzelnen Kapitalisten das Motiv die Waare durch erhöhte Produktivkraft der Arbeit zu verwohlfei‐ lern. Indeß entspringt selbst in diesem Fall die gesteigerte Produktionvon Mehrwerth aus der Verkürzung der nothwendigen Arbeitszeit und entsprechender Verlängerung der Mehrarbeitzeit betrug 10 Stunden oder der Tageswerth der Arbeitskraft 5 sh., die Mehrarbeit 2 Stunden, der täglich producirte Mehrwerth daher 1 sh. Unser Kapitalist producirt aber",1906-07a,dnz,1984867,1985953,"enso glatt"" wie ... auf dem Papier. Im wirklichen Leben wird diese versuchte ""Verteilung"" der Pro¬ dukte wahrscheinlich manchen Schwierigkeiten begegnen, die ihren Verlauf nicht ganz so glatt gestalten werden, wie unser gelehrter Kritiker sich das¬ vorstellt. Setzen wir den Fall, daß die Kapitalisten Tugan‐Baranowsky in ihren Rat¬ aufnehmen und die Produkte seinem Schema gemäß ""verteilten"". Was ge¬ schieht dann?"" Wie wir wissen, beginnen sie mit dem Akkumulieren. Um das zu kInnen, müssen sie einen Teil der Arbeit, die früher zur Produktion von Konsumtions¬ mitteln für Kapitalisten und Arbeiter benutzt wurde, zur Produktion von mehr¬ Maschinen verwenden. Zu welchem Zwecke soll das Mehr an Maschinen¬ gebraucht werden? Der Kapitalist macht sich freilich nicht viel daraus, ob der Arbeiter viel oder wenig zu effen hat oder ob die soziale Konsumtion wächst oder abnimmt, solange er in der Lage ist, seine Waren, in diesem Falle also¬ das Mehr an Maschinen, zu verkaufen. Aber wird er denn in der Lage sein, das zu tun? Das ist die Frage aller Fragen! Ein Kapitalist produziert ebe",91
